Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
27,No,Travel_Rarely,840,Research & Development,4,1,Other,1,37,4,Male,50,3,1,Laboratory Technician,3,Single,1874,9669,0,Y,Yes,13,3,3,80,0,3,4,2,2,2,2,2
31,No,Travel_Rarely,1300,Research & Development,10,1,Life Sciences,1,38,3,Female,51,2,1,Research Scientist,3,Married,2075,8506,0,Y,No,22,4,4,80,0,6,3,2,6,5,2,4
36,No,Travel_Rarely,1035,Research & Development,2,2,Life Sciences,1,39,1,Male,59,2,2,Research Scientist,1,Married,5029,12069,1,Y,No,11,3,2,80,0,9,3,3,9,8,2,8
29,Yes,Travel_Rarely,1059,Research & Development,18,3,Medical,1,40,1,Female,35,3,1,Laboratory Technician,3,Single,1907,16509,1,Y,Yes,11,3,4,80,0,4,3,2,4,4,0,3
42,No,Travel_Rarely,940,Research & Development,5,3,Medical,1,41,3,Male,91,3,1,Laboratory Technician,2,Married,2940,4249,0,Y,No,13,3,4,80,1,7,3,3,7,5,4,4
52,No,Travel_Frequently,994,Research & Development,3,3,Life Sciences,1,42,4,Female,80,3,3,Research Director,4,Married,14000,20612,0,Y,No,12,3,2,80,1,12,3,3,8,7,7,7
39,No,Travel_Rarely,738,Sales,1,3,Medical,1,43,3,Male,66,3,2,Sales Executive,3,Married,4830,9119,4,Y,No,14,3,3,80,2,7,3,3,7,7,1,6
27,No,Travel_Rarely,1240,Research & Development,9,1,Life Sciences,1,44,2,Male,61,3,1,Research Scientist,2,Single,2412,25061,1,Y,No,12,3,4,80,0,3,3,3,2,2,0,2
34,No,Travel_Rarely,1097,Research & Development,5,2,Medical,1,46,2,Male,55,4,1,Research Scientist,1,Married,2136,9634,0,Y,No,12,3,3,80,0,3,3,2,2,2,0,2
44,No,Travel_Rarely,617,Research & Development,4,3,Life Sciences,1,47,3,Male,59,2,2,Healthcare Representative,3,Married,6366,10340,2,Y,No,11,3,4,80,2,8,4,3,8,7,0,7
26,Yes,Travel_Rarely,966,Research & Development,3,2,Other,1,48,3,Male,41,3,1,Laboratory Technician,2,Single,2166,22765,1,Y,Yes,12,3,2,80,0,3,2,4,2,2,0,2
40,No,Travel_Rarely,1178,Research & Development,3,3,Life Sciences,1,49,3,Male,43,3,1,Laboratory Technician,3,Married,2516,12576,0,Y,No,11,3,3,80,0,6,2,3,6,5,0,5
30,No,Travel_Rarely,1324,Research & Development,1,3,Medical,1,51,1,Male,37,4,1,Research Scientist,4,Married,2381,24082,4,Y,No,12,3,4,80,0,6,3,3,6,5,4,5
33,No,Travel_Rarely,1318,Research & Development,3,2,Technical Degree,1,52,3,Male,90,4,2,Manufacturing Director,3,Married,5048,14410,0,Y,No,12,3,3,80,0,5,3,3,5,5,0,5
29,No,Travel_Rarely,1129,Research & Development,6,3,Technical Degree,1,53,3,Male,45,2,1,Research Scientist,3,Single,1604,17164,1,Y,No,12,3,1,80,0,2,5,3,1,1,0,0
55,No,Travel_Rarely,1045,Research & Development,25,2,Life Sciences,1,54,3,Male,67,3,2,Manufacturing Director,4,Married,7404,17496,3,Y,No,11,3,4,80,2,12,4,3,12,8,0,10
35,No,Travel_Rarely,1073,Research & Development,3,3,Life Sciences,1,55,3,Male,32,3,2,Healthcare Representative,2,Single,5163,24817,1,Y,No,11,3,4,80,0,7,3,3,7,7,0,7
43,No,Travel_Rarely,1210,Research & Development,6,2,Life Sciences,1,56,3,Male,44,3,2,Manufacturing Director,3,Married,5271,16099,1,Y,No,13,3,4,80,0,7,3,3,7,7,0,7
30,No,Travel_Rarely,858,Research & Development,6,4,Life Sciences,1,57,3,Female,92,4,2,Manufacturing Director,2,Single,5236,26987,2,Y,No,14,3,4,80,0,7,3,3,7,7,0,7
42,No,Travel_Rarely,1296,Research & Development,2,3,Technical Degree,1,58,2,Male,50,3,2,Manufacturing Director,3,Married,5258,16217,1,Y,No,12,3,3,80,0,7,3,3,7,7,0,7
27,No,Travel_Rarely,1247,Research & Development,5,4,Medical,1,59,3,Male,73,3,2,Manufacturing Director,3,Married,5248,17012,1,Y,No,13,3,4,80,0,7,3,3,7,7,0,7
30,Yes,Travel_Rarely,1300,Research & Development,5,3,Life Sciences,1,60,3,Female,65,3,1,Laboratory Technician,3,Married,2006,15880,1,Y,Yes,13,3,2,80,0,7,3,2,7,5,6,4
30,No,Travel_Frequently,474,Research & Development,2,3,Life Sciences,1,61,4,Male,96,3,2,Research Scientist,2,Married,5132,18208,1,Y,No,12,3,3,80,1,5,3,2,5,4,1,4
